zip_code,lat,lon,vehicle_age,model_year,vehicles
90000,35.21463,33.34315,16,2009,61.0
90001,48.33925,17.31092,16,2009,8905.0
90002,48.3465,17.33428,16,2009,7321.0
90003,1.27867,103.81753,16,2009,11251.0
90004,1.27876,103.81844,16,2009,4750.0
90005,1.27872,103.81922,16,2009,1789.0
90006,1.27815,103.81848,16,2009,5686.0
90007,1.27836,103.81938,16,2009,2033.0
90008,1.2778,103.81934,16,2009,1517.0
90010,1.27773,103.81977,16,2009,16.0
90011,1.27737,103.81864,16,2009,17902.0
90012,1.27719,103.81952,16,2009,6236.0
90013,1.27816,103.82048,16,2009,376.0
90015,1.27706,103.82076,16,2009,573.0
90016,1.27805,103.8215,16,2009,4928.0
90017,1.27777,103.8217,16,2009,662.0
90018,1.27791,103.82254,16,2009,5870.0
90019,1.27746,103.82265,16,2009,5877.0
90020,1.27692,103.82182,16,2009,1451.0
90022,1.27656,103.81982,16,2009,10508.0
90023,48.27146,17.30301,16,2009,6294.0
90024,48.21516,17.3606,16,2009,384.0
90025,48.2267,17.25501,16,2009,1644.0
90026,48.25118,17.27247,16,2009,5462.0
90027,48.19629,17.30145,16,2009,2176.0
90028,48.18603,17.25619,16,2009,666.0
90029,48.1838,17.3554,16,2009,2607.0
90032,48.2628,17.08669,16,2009,5369.0
90033,48.24833,17.05734,16,2009,4820.0
90034,1.27352,103.82248,16,2009,3379.0
90035,1.27302,103.82212,16,2009,777.0
90036,1.27261,103.82203,16,2009,785.0
90037,1.27267,103.82288,16,2009,8637.0
90038,1.27233,103.82221,16,2009,1210.0
90039,1.27175,103.82251,16,2009,1676.0
90040,1.2721,103.82325,16,2009,694.0
90041,48.09707,17.23995,16,2009,1736.0
90042,48.08264,17.26603,16,2009,6307.0
90043,48.03893,17.2528,16,2009,4266.0
90044,48.14407,17.33557,16,2009,14594.0
90045,48.15402,17.29635,16,2009,1754.0
90046,48.13872,17.27573,16,2009,1531.0
90047,33.95809,-118.30874,16,2009,5737.0
90048,34.07247,-118.37241,16,2009,199.0
90049,35.72321,45.35329,16,2009,738.0
90051,48.31916,16.98274,16,2009,87.0
90054,48.3482,17.09902,16,2009,32.0
90056,33.98637,-118.37136,16,2009,121.0
90057,22.68875,120.50037,16,2009,3114.0
90059,33.9279,-118.24774,16,2009,5080.0
90061,48.46806,16.92482,16,2009,2844.0
90062,48.4463,16.98069,16,2009,3565.0
90063,48.41483,16.92471,16,2009,10495.0
90064,48.40755,16.86063,16,2009,892.0
90065,48.38124,16.85096,16,2009,4865.0
90066,48.32932,16.91256,16,2009,4179.0
90067,48.36439,16.97444,16,2009,15.0
90068,48.37409,17.00249,16,2009,343.0
90069,34.09206,-118.38113,16,2009,157.0
90077,22.67739,120.4777,16,2009,12.0
90089,48.39876,17.35833,16,2009,32.0
