zip_code,vehicles
94038,11.0
93252,11.0
92667,11.0
92561,11.0
93290,11.0
92283,11.0
95690,11.0
95333,11.0
92256,11.0
95943,11.0
95550,11.0
95255,11.0
93437,11.0
93532,11.0
95306,11.0
93553,11.0
93601,11.0
96118,11.0
93667,11.0
94511,11.0
