zip_code,vehicles,lat,lon
91007,13216.0,34.12684,-118.05057999999998
91008,15.0,48.87441,18.04271
91010,9451.0,-3.78936,-70.35249
91011,7948.0,34.21276,-118.19406
91016,17686.0,1.27757,103.82115
91020,907.0,34.21076,-118.23049999999999
91024,1891.0,34.16612,-118.05126
91030,8613.0,34.11011,-118.15694
91040,6529.0,34.2605,-118.32721000000001
91042,10517.0,34.25507,-118.28608
91101,5899.0,48.891780000000004,18.04984
91103,7531.0,34.16775,-118.16122
91104,12579.0,48.86433,18.02415
91105,2914.0,48.90044,18.01767
91106,7123.0,48.89756,17.99908
91107,13942.0,48.88488,18.0361
91108,3739.0,48.8746,18.04633
91201,7032.0,55.69985,21.1385
91202,7332.0,55.70062,21.13903
91203,4016.0,55.70122,21.13997
91204,4725.0,55.69928,21.14135
91205,12146.0,55.69818,21.1404
91206,12106.0,55.6983,21.13977
91207,1803.0,55.69771,21.13864
91208,4628.0,55.69512,21.14111
91214,13813.0,55.69512,21.14588
91301,9822.0,48.87217,17.83296
91302,11652.0,34.13836,-118.66129
91303,9366.0,48.9,17.95142
91304,22654.0,48.87152,17.93715
91306,21729.0,48.80224,17.88077
91307,9440.0,48.83612,17.83771
91311,19629.0,48.83939,17.98838
91316,10381.0,34.16522,-118.5174
91320,23519.0,34.1776,-118.93962
91321,13625.0,48.85027,18.02122
91324,10588.0,48.76915999999999,18.13882
91325,12712.0,48.80451,18.19225
91326,20255.0,48.82913,18.18275
91331,58095.0,48.93106,18.06959
91335,39557.0,34.20121,-118.53968999999998
91340,14533.0,34.28702,-118.43616000000002
91342,57985.0,22.56214,120.48682
91343,29528.0,34.23924,-118.48156
91344,28441.0,34.27945,-118.50194999999998
91345,6551.0,34.26229,-118.45958
91350,22003.0,34.44072,-118.50424999999998
91351,15113.0,34.42579,-118.4742
91352,23825.0,34.225,-118.37283
91354,14368.0,34.45056,-118.55161
91355,15425.0,34.40967,-118.56102000000001
91356,11447.0,34.16165,-118.54589
91360,20676.0,34.20931,-118.87515
91361,7777.0,34.14126,-118.83116
91362,19840.0,34.19546,-118.83046
91364,10771.0,34.15798,-118.60082
91367,20201.0,49.16888,18.49327
91377,3552.0,34.17958,-118.76841
91381,7694.0,34.38932,-118.58669
91384,8205.0,34.47906,-118.63415000000002
91387,20944.0,34.41971,-118.42754
91390,6183.0,34.49267,-118.43759
91401,16281.0,48.93372,18.12107
91402,32031.0,34.22363,-118.44415999999998
91403,8530.0,34.14868,-118.4621
91405,28187.0,34.20018,-118.44725
91406,25550.0,34.20071,-118.4931
91411,6437.0,34.17862,-118.45827000000001
91423,12496.0,34.14941,-118.43256
91436,6018.0,34.14988,-118.49016999999999
91501,6066.0,48.75785,17.83063
91502,1845.0,55.712650000000004,21.13442
91504,9238.0,34.20272,-118.32962
91505,12281.0,34.17128,-118.34532
91506,5114.0,34.17198,-118.32451000000002
91521,76.0,34.15753,-118.32597
91601,14202.0,48.78542,17.67492
91602,5357.0,34.15148,-118.36762000000002
91604,11678.0,34.14168,-118.39353
91605,26576.0,34.20852,-118.40251
91606,17475.0,34.18642,-118.38872
91607,10078.0,34.16659,-118.40008
91608,45.0,34.13949,-118.35425
91701,19927.0,48.38259,17.58828
91702,29785.0,48.36232,17.58419
91706,43946.0,34.08508,-117.96976
91708,4763.0,48.37259,17.56446
91709,50145.0,33.97177,-117.72426
91710,53779.0,34.01073,-117.68509
91711,12849.0,34.11461,-117.71868
91722,15996.0,34.09723,-117.90676
91723,5734.0,34.085040000000006,-117.88702
91724,10071.0,34.08771,-117.85785000000001
91730,39184.0,34.10815,-117.57696
91731,10751.0,48.37618,17.57733
91732,28625.0,34.0738,-118.01468
91733,19358.0,34.05265,-118.04641
91734,545.0,35.84301,-103.92069
91737,9144.0,34.14732,-117.57731
91739,20184.0,34.13342,-117.52517999999999
91740,9539.0,34.11858,-117.85488
91741,10241.0,34.14134,-117.85253
91744,47924.0,34.03064,-117.93803
91745,30538.0,33.9964,-117.96726000000001
91746,14215.0,34.04832,-117.98323
91748,24590.0,33.98089,-117.89641
91749,33.0,19.1701,-96.14878
91750,14732.0,34.12095,-117.76999
91752,20376.0,33.99472,-117.53151
91754,15378.0,48.36417,17.60274
91755,12171.0,34.05217,-118.11679
91761,44483.0,48.37134,17.58701
91762,36455.0,34.05698,-117.66137
91763,17565.0,34.0713,-117.69798
91764,27306.0,34.07569,-117.61824
91765,25509.0,34.00204,-117.81468
91766,37480.0,34.04184,-117.75801
91767,22469.0,34.08093,-117.73793
91768,12594.0,34.06746,-117.77793
91770,37573.0,34.06622,-118.08423
91773,14944.0,34.10024,-117.81677
91775,8411.0,48.36999,17.58812
91776,17574.0,34.08964,-118.09513
91780,16970.0,34.10132,-118.05496
91784,12489.0,34.13561,-117.65853
91786,26380.0,34.10503,-117.65816999999998
91789,23647.0,34.02068,-117.85921
91790,22398.0,34.06705,-117.93781
91791,15086.0,34.06232000000001,-117.89743
91792,11417.0,34.02175,-117.89854
91801,24212.0,48.38399,17.5671
91802,522.0,34.09346,-118.1286
91803,12434.0,34.0739,-118.14651
91901,5216.0,48.40709,17.4979
91902,5870.0,48.4398,17.42855
91905,13.0,48.52829,17.46416
91906,145.0,48.53593,17.53193
91910,46791.0,48.54251,17.3982
91911,55362.0,32.60995,-117.05121
91912,12.0,32.63783,-117.06934
91913,30240.0,32.62887,-116.98793999999998
91914,5575.0,32.66213,-116.95938
91915,14904.0,32.63312,-116.95437
91916,12.0,32.89319,-116.60889
91932,7491.0,48.30237,17.6437
91935,1344.0,48.34226,17.56848
91941,13234.0,32.75988,-117.00342
91942,17830.0,48.27823,17.55922
91945,10976.0,32.73222,-117.03431
91950,30082.0,32.67502,-117.08771
91963,13.0,32.61783,-116.60901
91977,33446.0,32.72429,-116.99714
91978,1777.0,32.73117,-116.95693
91980,379.0,32.58317,-116.62935
92003,210.0,48.42752,17.77115
92004,313.0,33.21793,-116.32602
92007,2299.0,33.02563,-117.27547
92008,12155.0,33.15398,-117.32702
92009,23683.0,33.09409,-117.24569
92010,5956.0,33.16247,-117.30001
92011,9698.0,55.72897,21.12539
92014,4142.0,32.95798,-117.25165
92018,373.0,48.42648,17.79657
92019,22352.0,32.77866,-116.90941
92020,30560.0,32.79489,-116.97243
92021,37063.0,24.922530000000002,67.08164
92024,29538.0,-9.52987,-77.52641000000001
92025,25027.0,33.10355,-117.06486999999998
92026,28238.0,33.17784,-117.10634
92027,30480.0,48.4232,17.81724
92028,30283.0,33.36631,-117.21363
92029,10115.0,33.09274,-117.11116
92036,127.0,33.03179,-116.54512
92037,18261.0,32.83891,-117.25754
92054,15353.0,33.1977,-117.35808
92055,166.0,48.39054,17.79773
92056,30086.0,48.35565,17.79218
92057,30130.0,33.24359,-117.29978000000001
92058,12503.0,33.22851,-117.35047
92059,43.0,33.37671,-117.07032
92064,28386.0,48.38952999999999,17.87319
92067,3932.0,33.01584,-117.19676
92069,25430.0,54.555369999999996,23.35003
92071,30921.0,32.84845,-116.98605
92072,12.0,32.83877,-116.99093
92075,2779.0,32.99409,-117.26069
92078,25472.0,33.12138,-117.19222999999998
92081,12128.0,33.16852,-117.24281
92082,9083.0,33.24844,-117.02148
92083,17377.0,33.19792,-117.24885
92084,25199.0,33.21268,-117.21906
92091,70.0,33.01705,-117.19773
92093,59.0,32.88184,-117.23611999999999
92100,17.0,55.72332,21.15885
92101,28909.0,48.592040000000004,17.82307
92102,16779.0,55.71905,21.15232
92103,12914.0,-17.76594,177.42805
92104,18821.0,32.74418,-117.12796
92105,35552.0,55.71782,21.15284
92106,4741.0,55.71653,21.14696
92107,9148.0,55.71433,21.14117
92108,9428.0,55.71381,21.14173
92109,18012.0,55.71317,21.14208
92110,10267.0,32.76616,-117.20073
92111,25813.0,55.71045999999999,21.13866
92112,23.0,55.71175,21.13701
92113,22641.0,55.7134,21.13765
92114,39279.0,55.712039999999995,21.13372
92115,22968.0,32.76049,-117.07026
92116,12081.0,32.76312,-117.12405
92117,26824.0,55.71009000000001,21.13044
92118,3261.0,55.71093,21.129
92120,13314.0,55.70904,21.12586
92121,1789.0,55.71325,21.12226
92122,15972.0,48.59335,17.82374
92123,16013.0,55.71582,21.12356
92126,44569.0,55.71298,21.12725
92127,25363.0,55.71173,21.12789
92128,26423.0,55.71257,21.1304
92129,29859.0,48.58722,17.84203
92130,35115.0,55.71489,21.12869
92136,13.0,55.71487,21.13248
92139,15635.0,55.71342,21.13661
92145,13.0,55.71476,21.14065
92154,64872.0,32.57432,-117.04815
92163,14.0,48.587,17.8368
92170,54.0,21.20839,-98.39716
92173,22987.0,32.55723,-117.04973
92178,22.0,32.693,-117.17981
92182,12.0,32.7744,-117.07292
92201,30645.0,48.62857999999999,17.76998
92202,26.0,48.61041,17.75376
92203,13314.0,48.62005,17.72292
92210,382.0,48.59619,17.75209
92211,11224.0,48.65018,17.66862
92220,13174.0,55.7229,21.129819999999995
92223,34621.0,55.72053,21.12707
92225,3428.0,55.71885,21.12806
92227,13901.0,55.71964,21.132449999999995
92230,796.0,55.71746,21.13576
92231,33497.0,48.53613,17.84293
92232,445.0,55.71808,21.12888
92233,309.0,55.71714,21.12883
92234,27643.0,55.71607,21.12763
92236,20680.0,55.71773,21.125979999999995
92240,15964.0,55.71768,21.12113
92241,831.0,48.51753,17.80113
92243,33768.0,55.71723999999999,21.12056
92249,2012.0,55.72056,21.11719
92250,2109.0,55.71942,21.11912
92251,12477.0,55.71969,21.12198
92252,260.0,55.71905999999999,21.12449
92253,16601.0,55.72017,21.1256
92254,3738.0,55.72075,21.12367
92256,11.0,55.72116,21.12045
92257,14.0,55.72081,21.1181
92260,11203.0,55.72334,21.12324
92262,8002.0,55.72286,21.116
92264,5332.0,55.7215,21.11429
92270,6489.0,33.77228,-116.42132
92273,12.0,55.78147,21.14772
92274,7849.0,55.7767,21.14278
92276,1722.0,55.72872,21.09444
92277,3316.0,55.7348,21.0914
92281,12.0,55.77024,21.09242
92283,11.0,55.78307,21.13693
92284,6784.0,55.78016,21.14317
92301,12706.0,55.730019999999996,21.13139
92307,18126.0,55.73138,21.13817
92308,18692.0,55.73148,21.14096
92310,65.0,55.72988999999999,21.14122
92311,9127.0,34.90757,-117.07664
92313,2631.0,34.03192,-117.31347000000001
92314,1479.0,55.737,21.14018
92315,803.0,55.73466,21.14325
92316,16084.0,55.73494,21.13987
92317,143.0,55.735549999999996,21.13621
92320,2496.0,55.7412,21.13888
92324,30342.0,55.74334,21.13299
92325,1700.0,55.74544,21.13832
92329,24.0,55.73869,21.1315
92331,72.0,55.75055,21.1269
92335,63976.0,55.76422999999999,21.133810000000004
92336,70970.0,55.77461,21.14991
92337,18876.0,55.75983,21.20818
92340,33.0,55.74731,21.13648
92342,246.0,55.74495,21.20132
92344,8226.0,55.76086,21.15252
92345,52234.0,55.76332,21.1517
92346,29487.0,55.75778,21.15871
92347,20.0,55.75521,21.15693
92352,580.0,55.74471,21.15496
92354,6777.0,55.75245,21.15231
92356,132.0,55.75102,21.15127
92359,1184.0,55.76785,21.15806
92363,26.0,34.7557,-114.58989
92366,50.0,35.45185,-115.4928
92368,19.0,55.80425,21.13462
92371,2622.0,55.869800000000005,21.11596
92372,94.0,55.87046,21.1117
92373,13578.0,55.8642,21.09688
92374,19062.0,34.06632,-117.16888
92376,49165.0,55.7772,21.18728
92377,8319.0,55.75938,21.18851
92382,583.0,55.81419999999999,21.1061
92386,13.0,55.7814,21.08494
92391,23.0,34.24171,-117.23242
92392,31478.0,34.48699,-117.37359
92394,13570.0,34.53817,-117.3454
92395,17329.0,34.49954,-117.29709
92397,457.0,34.36181,-117.63109
92398,14.0,55.76962,21.28309
92399,29532.0,55.78231000000001,21.33526
